275.17175	0.0035469027
276.0313	1.6034288
279.32477	4.0529656
281.0384	7.10273
281.95108	10.152608
285.30136	14.152142
288.63513	17.701675
292.79364	21.901094
299.3512	26.00017
311.50598	29.848444
322.79938	32.046837
336.51385	34.744884
342.94498	35.39397
351.7568	35.44271
358.16412	35.441795
362.98608	35.89111
367.01263	36.490536
372.66483	37.73973
379.928		39.238697
386.41592	41.43778
392.88004	42.98686
400.1487	44.635826
412.23203	46.534103
426.70706	48.132042
438.7574	49.13032
460.4095	49.87723
481.224		49.624256
498.001		48.471855
516.3468	46.41923
525.90643	45.01786
538.6459	42.966034
548.19995	41.414665
560.93756	39.31284
572.8816	37.41113
584.0284	35.60953
599.1577	33.20736
615.8999	31.104963
625.4503	29.453594
631.0146	28.302795
635.7724	27.002111
645.3265	25.450743
654.1035	24.549486
664.4549	22.898003
677.2163	21.446175
685.18146	20.245033
699.5447	18.792978
713.10706	17.341036
726.6694	15.889094
742.6363	14.486809
758.6087	13.234524
775.371		11.682124
790.5443	10.479953
809.7149	9.07721
829.6882	7.724353
846.4633	6.521953
872.0393	5.068295
896.82544	3.9147508
932.01605	2.5597196
970.4066	1.1042309
1004.0064	0.049427804
